symbol,price_24h,volume_24h,last_trade_price
TFUEL-USDC,0.05244,0.0,0.05244
XLM-EUR,0.09726,0.0,0.09731
ALGO-BTC,1.488e-05,0.0,1.488e-05
EFI-USDT,0.137,0.0,0.137
XTZ-USDT,1.11,0.0,1.11
XLM-BTC,0.0,0.0,5.51e-06
USDC-GBP,0.8882,0.0,0.8882
OGN-USDT,0.2322,0.0,0.2322
CLOUT-USD,9.3,0.0,9.3
STX-USDC,0.331,0.0,0.324
CEUR-USDT,1.06,0.0,1.06
EOS-USD,0.0,0.0,0.0
PAX-USD,1.0004,0.0,1.0004
BCH-USD,131.43,60.2711945,132.72
DAI-EUR,0.0061,0.0,0.0061
USDT-GBP,0.8087,2461.986,0.8087
CRV-USDT,1.0902,0.0,1.0902
LINK-USDT,7.808,0.0,7.808
CHZ-USD,0.1285,0.0,0.1285
APE-USD,4.579,0.0,4.578
STX-USD,0.865,2025.80000756,0.86
MATIC-USDT,0.997,0.0,0.997
WDGLD-USD,174.52,0.0,174.52
ETH-USD,2087.41,79.6578347,2088.45
SNX-USD,2.7233,0.0,2.7246
LEND-USD,0.0,0.0,0.4909
XLM-PAX,0.0,0.0,0.06981
XRP-EUR,0.0,0.0,0.22
XLM-USD,0.10732,63237.9143692,0.10596
BAT-USDC,0.30129,0.0,0.30144
LINK-USDC,7.033,0.0,7.055
DGLD-BTC,0.009727,0.0,0.009534
BCH-EUR,117.97,0.0,117.97
BCH-BTC,0.006,0.0,0.006
CLOUT-BTC,0.000302,0.0,0.000302
BTC-USD,30372.11,11.12229999,30273.08
BCH-ETH,0.0,0.0,0.582678
ETH-TRY,23950.9,0.0,23950.9
WLUNA-USD,0.00013,0.0,0.00013
THETA-USD,1.0146,0.0,1.0146
GALA-USD,0.04,0.0,0.04
CUSD-USDT,490.0,0.0,490.0
BTC-TRY,390682.0,0.0,390682.0
ALGO-USD,0.2238,82480.360986,0.233
ETH-EUR,1899.42,4.69772994,1906.21
DOGE-USD,0.09014,121383.2848918,0.08956
GRT-USD,0.11561,0.0,0.11561
STX-USDT,0.848,10.0,0.848
XRP-USD,0.0,0.0,0.29
XLM-ETH,0.0,0.0,0.00019195
USD-GBP,0.0,0.0,0.0
YFI-USD,8581.75,0.0,8583.9
BTC-PAX,0.0,0.0,6115.0
UMA-USDC,3.3229,0.0,3.3229
WBTC-USDC,18996.89,0.0,19154.51
MKR-USDT,1013.83,0.0,1013.18
NEAR-USD,2.2862,108.6134768,2.2868
CRV-USDC,0.9327,0.0,0.9327
TRX-USD,0.06606,10.000001,0.06606
UNI-USDT,5.534,0.0,5.534
DOT-EUR,6.16,7.90287119,6.22
BAT-USDT,0.26776,0.0,0.26776
BCH-PAX,0.0,0.0,339.24
DAI-USDC,0.9996,0.0,0.9996
UNI-USD,6.322,2.58360907,6.322
TFUEL-USDT,0.06478,0.0,0.06478
SOL-USDT,24.036,416.19645119,24.272
ETH-BTC,0.068625,52.131502,0.068818
WDGLD-BTC,0.007,0.0,0.007
CELO-USDT,0.6,0.0,0.6
USDC-EUR,1.017,0.0,1.0169
XTZ-USDC,1.59,0.0,1.59
WBTC-USDT,26943.48,0.0,26943.48
MKR-USDC,1032.03,0.0,1032.03
LINK-USD,7.838,170.85299321,7.963
LTC-USD,95.78,18.30248137,95.2
DOGE-USDT,0.09016,0.0,0.09016
GRT-USDC,0.10872,0.0,0.10877
CRV-USD,0.9785,0.0,0.9785
COMP-USD,45.14,0.71922726,45.14
CEUR-EUR,0.99,0.0,0.99
GBP-USD,1.2362,102.56,1.2362
LTC-BTC,0.0,0.0,0.005827
EFI-USD,0.148,0.0,0.148
EOS-USDT,0.0,0.0,0.0
DAI-USDT,0.999,0.0,0.999
SOL-USDC,32.136,0.0,32.133
BTC-GBP,24621.0,0.784,24521.0
USDC-USD,1.0005,0.0,1.0005
MKR-USD,765.99,0.0,765.99
SNX-USDT,3.7085,0.0,3.7085
LTC-TRY,0.0,0.0,0.0
UMA-USDT,1.8994,0.0,1.8994
WBTC-USD,28131.96,0.0,28131.96
UMA-USD,2.216,0.0,2.216
UNI-USDC,5.215,0.0,5.215
CELO-USD,0.7,5.12151654,0.7
THETA-USDC,1.0949,0.0,1.0931
LTC-EUR,87.31,28.51233856,87.53
SNX-USDC,2.3583,0.0,2.3595
WDGLD-DGLD,0.9901,0.0,0.99
THETA-USDT,1.0559,0.0,1.0559
GRT-USDT,0.09659,0.0,0.09659
EUR-USD,1.0989,25.4332,1.0979
DOT-USD,6.59,0.0,6.59
XTZ-USD,1.09,0.0,1.09
USDT-TRY,8.29,0.0,8.29
RARE-USDT,0.21162,0.0,0.21162
COMP-USDT,56.4,0.0,56.4
USDT-USD,1.0003,151.4817,1.0003
LEND-USDT,0.0,0.0,0.4854
CELO-USDC,0.85,0.0,0.84
USD-EUR,0.0,0.0,0.0
ETH-GBP,1701.06,0.3,1701.06
OGN-USD,0.22,0.0,0.22
ZRX-USDC,0.3452,0.0,0.3452
TFUEL-USD,0.05842,0.0,0.05842
BAT-USD,0.28442,0.0,0.28427
ADA-USD,0.4349,228.61550886,0.4536
ADA-USDT,0.4479,40.49236591,0.4556
AAVE-USDT,82.25,0.0,82.25
APE-USDC,5.962,0.0,5.982
USDC-USDT,1.0003,0.0,1.0003
ETH-PAX,0.0,0.0,219.41
BCH-USDT,0.0,0.0,358.46
ZRX-USDT,0.34513,0.0,0.34513
CUSD-USD,0.9952,0.0,0.9952
ALGO-USDT,0.0,0.0,0.3614
SUSHI-USDC,0.995,0.0,0.995
ENJ-USD,0.4454,41.0,0.4454
LTC-USDT,0.0,0.0,73.28
DAI-GBP,0.84,0.0,0.84
EFI-USDC,0.136,0.0,0.136
BTC-EUR,27655.21,2.69019687,27554.71
USDT-EUR,0.9106,738.5667,0.9106
DGLD-USD,163.1,0.0,163.1
EOS-USDC,0.0,0.0,0.0
YFI-USDT,7085.6,0.0,7085.6
WLUNA-USDT,0.01,0.0,0.01
RARE-USD,0.30455,0.0,0.30455
SUSHI-USDT,1.477,0.0,1.477
RARE-USDC,0.21139,0.0,0.21139
COMP-USDC,48.89,0.0,48.42
ENJ-USDT,0.3842,0.0,0.3842
CUSD-USDC,1.0024,0.0,1.0024
LTC-PAX,0.0,0.0,74.03
MATIC-USDC,0.752,0.0,0.752
PAX-EUR,0.0,0.0,0.9444
NEAR-EUR,0.0,0.0,0.0
AAVE-USD,78.55,0.0,78.55
DOT-GBP,5.4,10.74164036,5.4
BTC-USDT,30392.25,0.44561881,30315.66
WLUNA-USDC,0.001,0.0,0.001
APE-USDT,4.7,0.0,4.7
SOL-USD,24.672,0.0,24.672
ETH-USDT,2086.28,18.04696851,2095.49
ZRX-USD,0.35948,0.0,0.35948
ADA-USDC,0.4406,0.0,0.439
MATIC-USD,1.173,21.08108108,1.173
SUSHI-USD,1.181,31.25454545,1.181
NEAR-USDT,0.0,0.0,0.0
DAI-USD,0.9992,0.0,0.9992
